title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
The Best of Season 4 | The West Wing,DYIr13ZZZb0,The West Wing,2024-09-06T19:00:10Z,"â€œI had half a grapefruit. You think I'm lying?""

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,101862,827,37,PT1H15M55S,hd,public
The Everyday American Hamburger | The West Wing,ouBr3F2qWMI,The West Wing,2024-07-04T21:45:02Z,"â€œI am not a king.â€

Season 3 Episode 9: The Women of Qumar

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,163669,1563,141,PT4M53S,hd,public
The President's Daughter and the White House Staff Walk into a Bar | The West Wing,ijwy6vw8fj8,The West Wing,2024-06-08T11:00:41Z,"""What's a Panic Button?""

Season 1 Episode 6: Mr. Willis Of Ohio 

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official ""THE WEST WING"" channel! Stay up to date on President Jed Bartlet and his White House staff's most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,384145,2770,273,PT5M9S,hd,public
I Do Know What My Position Is | The West Wing,DqwQMN6bMn0,The West Wing,2024-10-03T11:00:19Z,"â€œâ€™Cause bite me, thatâ€™s why.â€

Season 4, Episode 5: Debate Camp

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,23750,336,41,PT2M21S,hd,public
The West Wing - Hiring Charlie,y2T5m3Jk-YM,Varun Hebli,2020-06-06T16:14:38Z,,,22,286666,1534,114,PT2M20S,hd,public
The West Wing - Bloopers,6Ah34t_Sdis,kasaschu,2009-07-18T14:04:03Z, ,"West Wing,Bloopers,Martin Sheen,Rob Lowe,John Spencer,Bradley Whitford,Richard Schiff,Allison Janney",24,1762355,4680,208,PT3M19S,sd,public
C.J. vs. Charlie | The West Wing,B-jAGd6Zx1o,Warner Bros. TV,2024-08-07T18:01:22Z,"#TheWestWing is now streaming on Max.

ABOUT: Intense and dedicated presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country with fictional Democratic President Josiah ""Jed"" Bartlet.",,22,100861,1109,77,PT4M10S,hd,public
"I Canâ€™t Make You Happy, Dad | The West Wing",2FKJSa9N9b8,The West Wing,2024-09-28T11:00:02Z,"â€œAnd when youâ€™ve started firing doctors for that, youâ€™ve crossed a line somewhere.â€

Season 2, Episode 15: Ellie

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,30467,409,74,PT4M34S,hd,public
We Canâ€™t Take Credit | The West Wing,KDaN4Bwa3sM,The West Wing,2024-09-28T22:00:21Z,"â€œNot to mention a little problem called the Wall Street Journal.â€

Season 5 Episode 12: Slow New Day

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,31320,408,31,PT3M37S,hd,public
Leo Ropes Josh into His Plan | The West Wing,WdT8_EubIqY,The West Wing,2024-08-14T11:00:35Z,"â€œIâ€™m trying to fly under the radar a little.â€

Season 2 Episode 1: In The Shadow Of Two Gunmen - Part I

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,66347,802,72,PT1M57S,hd,public
