slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre,imdb_title_id,imdb_episode_count,imdb_avg_rating,imdb_weighted_avg_rating,imdb_total_votes,imdb_best_episode_rating,imdb_best_episode_title
mad_men,,,,,,,,,,,,,,,,,,,,,,,tt0804503,,,,,,
matlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miami_vice,,,,,,,,,,,,,,,,,,,,,,,tt0086759,,,,,,
modern_family,Modern Family,Show,Disney,Hulu,ABC,,,,"1,250.1M",,,0.0M,,https://www.facebook.com/ModernFamily,7.0M,4,$0 ,$0 ,,,Clips on ABC YT channel,,tt1442437,250,7.7372,7.8435,642417,9.5,Connection Lost
naked_and_afraid,Naked and Afraid,Show,WBD,Max,Discovery,,,,374.0M,,,0.0M,,https://www.facebook.com/NakedandAfraid,3.3M,10,$0 ,$0 ,,,,,tt3007640,215,7.1192,7.1811,7502,8.9,Runaway Bride
prison_break,Prison Break,Show,Disney/Fox,Disney+/Hulu,,,,,813.9M,,,,,https://www.facebook.com/PrisonBreak,12.0M,1,,,,,,,tt0455275,,,,,,
rachael_ray,The Rachael Ray Show,Show,CBS,Paramount+,,920K,"9,265",8/30/2012,,1.3M,1.4,15.6M,"$31,200 ",https://www.facebook.com/RachaelRayShow,2.1M,0,"$31,200 ","$62,400 ",,,,,tt0827947,,,,,,
sabrina_the_teenage_witch,Sabrina The Teenage Witch,Show,CBS,Paramount+,https://www.youtube.com/@sabrinatheteenagewitch,66K,642,2/16/2023,47.7M,0.3M,4.3,3.4M,"$6,860 ",https://www.facebook.com/SabrinaTheTeenageWitchTV,0.5M,0,"$6,860 ","$13,721 ",,,,,tt0115341,,,,,,
say_yes_to_the_dress,Say Yes To The Dress,Show,WBD,Max,https://www.youtube.com/@SayYestotheDress,"2,010K","1,300",6/26/2018,"1,600.0M",10.0M,5,119.6M,"$239,256 ",https://www.facebook.com/SayYesToTheDress,2.3M,6,"$239,256 ","$478,512 ",,,YT - UK,,tt1166709,,,,,,
scrubs,,,,,,,,,,,,,,,,,,,,,,,tt0285403,,,,,,
sex_and_the_city,Sex and The City,Show,WBD,Max,https://www.youtube.com/@SEXANDTHECITYCLIPS`,51K,296,7/14/2018,338.0M,0.7M,13.1,8.0M,"$15,922 ",,,,,"$15,922 ",,,"YT fan channel, not official. Clips on HBO YT.",,tt0159206,,,,,,
sister_wives,Sister Wives,Show,WBD,Max,TLC,,,,36.0M,,,0.0M,,https://www.facebook.com/sisterwives,1.1M,0,$0 ,$0 ,19,209,Clips on Discovery YT,,tt1721666,,,,,,
