slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre
the_incredible_dr_pol,The Incredible Dr. Pol,Show,Disney,Disney+/Hulu,NatGeo Wild YT,,,,,,,,,https://www.facebook.com/TheDrPolOfficial,1.5M,10,$0 ,$0 ,,,Clips on NatGeo Wild. Personal FB page but no show page. 24 seasons?,
the_jerry_springer_show,Jerry Springer,Show,NBCU,Peacock,https://www.youtube.com/@JerrySpringerTV,"3,080K","2,777",10/22/2010,,10.3M,3.3,123.1M,"$246,120 ",https://www.facebook.com/JerrySpringer,5.7M,10,"$246,120 ","$492,240 ",,,Longer clips on YT (5-10mins posted frequently). Same content posted on FB. Good strategy.,
the_joan_rivers_show,,,,,,,,,,,,,,,,,,,,,,
the_kelly_clarkson_show,The Kelly Clarkson Show,Show,NBCU,Peacock,https://www.youtube.com/@kellyclarksonshow,"2,750K","6,527",9/18/2018,,14.8M,5.4,177.1M,"$354,168 ",https://www.facebook.com/KellyClarksonShow,3.0M,10,"$354,168 ","$708,336 ",,,Shorter clips on YT (2-7mins). ,
the_office,The Office,Show,NBCU,Peacock,https://www.youtube.com/@TheOffice,"3,330K","1,293",4/14/2014,,55.5M,16.7,666.6M,"$1,333,104 ",https://www.facebook.com/TheOfficeTV,9.2M,5,"$1,333,104 ","$2,666,208 ",,,,
the_proof_is_out_there,The Proof Is Out There,Show,History,,,,,,,,,,,,,,0,$0 ,,,,
the_real_housewives_of_orange_county,The Real Housewives of Orange County,Show,NBCU,Peacock,Bravo,,,,,,,,,https://www.facebook.com/RealHousewivesofOrangeCounty,1.0M,6,$0 ,$0 ,,,Clips on Bravo YT.,
the_secret_of_skinwalker_ranch,Skinwalker Ranch,Show,History,,,,,,,,,,,,,,0,$0 ,,,,
the_simpsons,The Simpsons,Show,Disney,Disney+/Hulu,???,,,,,,,,,https://www.facebook.com/TheSimpsons,57.0M,8,,,,,,
the_sopranos,The Sopranos,Show,WBD,Max,HBO,,,,,,,0.0M,,https://www.facebook.com/TheSopranos,2.3M,0,$0 ,$0 ,,,Clips on HBO YT.,
the_steve_wilkos_show,The Steve Wilkos Show,Show,NBCU,Peacock,https://www.youtube.com/@SteveWilkosShow,"2,020K","4,291",10/6/2010,,13.2M,6.6,159.0M,"$317,952 ",https://www.facebook.com/TheSteveWilkosShow,4.2M,10,"$317,952 ","$635,904 ",,,Longer clips on YT (5-10mins posted frequently). Same content posted on FB. Good strategy.,
the_traitors,The Traitors,Show,NBCU,Peacock,Peacock,,,,,,,,,,,,,,,,,
the_unexplained,The Unexplained,Show,History,,,,,,,,,,,,,,0,$0 ,,,,
the_walking_dead,The Walking Dead,Show,AMC,Netflix,https://www.youtube.com/@TheWalkingDead,"1,200K","2,338",9/21/2005,,1.6M,1.3,18.9M,"$37,896 ",https://www.facebook.com/TheWalkingDeadAMC,31.0M,10,,,,,,
the_west_wing,The West Wing,Show,WBD,Max,https://www.youtube.com/@TheWestWing,52K,329,4/24/2024,163.0M,1.8M,33.7,21.0M,"$42,096 ",https://www.facebook.com/TheWestWingTVShow,0.4M,2,"$42,096 ","$84,192 ",7,154,,
the_x_files,The X-Files,Show,Disney/Fox,Disney+/Hulu,https://www.youtube.com/@THEXFILESFOX,66K,148,10/5/2015,182.0M,0.0M,0.6,0.5M,$937 ,https://www.facebook.com/OfficialTheXFiles,1.8M,1,,,,,,
toddlers__tiaras,Toddlers & Tiaras,Show,WBD,Max,TLC UK,,,,316.8M,,,0.0M,,https://www.facebook.com/ToddlersandTiaras,0.8M,0,$0 ,$0 ,7,120,Clips on Discovery YT,
two_and_a_half_men,Two And A Half Men,Show,WBD,Max,https://www.youtube.com/@twoandahalfmen,51K,320,6/11/2013,,6.0M,118.2,72.5M,"$145,008 ",https://www.facebook.com/TwoandaHalfMen,22.0M,2,"$145,008 ","$290,016 ",,,,
undercover_boss,Undercover Boss,Show,CBS,Paramount+,https://www.youtube.com/@undercoverboss,40K,137,6/12/2013,,0.0M,0.2,0.1M,$168 ,https://www.facebook.com/UndercoverBossCBS,0.5M,0,$168 ,$336 ,,,Last FB post in April for season end?,
unsolved_mysteries,Unsolved Mysteries,Show,FilmRise,,https://www.youtube.com/@UnsolvedMysteriesFullEpisodes,393K,412,2/7/2017,57.6M,1.4M,3.6,16.8M,"$33,600 ",,,,,,,,,
vanderpump_rules,Vanderpump Rules,Show,NBCU,Peacock,Bravo,,,,,,,,,https://www.facebook.com/VanderpumpRules,0.4M,10,$0 ,$0 ,,,,
veep,Veep,Show,WBD,Max,HBO,,,,,,,0.0M,,https://www.facebook.com/veep,0.2M,0,$0 ,$0 ,,,Clips on HBO YT.,
vikings,Vikings,Show,A+E,,,,,,,,,,,https://www.facebook.com/Vikings,5.5M,0,0,$0 ,,,,
