slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre
charmed,Charmed,Show,CBS,Paramount+,,42K,783,4/11/2023,58.7M,2.5M,59.5,30.0M,"$60,000 ",https://www.facebook.com/charmedtv,2.2M,10,"$60,000 ","$120,000 ",,,,
chicago_hope,Chicago Hope,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
cold_case_files,Cold Case Files,Show,A+E,,,,,,122.4M,,,,,https://www.facebook.com/OfficialColdCaseFiles,0.5M,4,0,$0 ,,,,
comet,Comet,Channel,Sinclair,0,https://www.youtube.com/@watchcomet649,5K,23,9/4/2015,,0.0M,0.1,0.0M,$13 ,https://www.facebook.com/WatchComet,0.1M,10,$13 ,$26 ,,,,
community,Community,Show,Sony,Peacock,https://www.youtube.com/@CommunityOfficialChannel,327K,805,7/19/2019,,9.8M,29.9,117.4M,"$234,888 ",https://www.facebook.com/communitytv,1.5M,1,,,,,,
counting_cars,Counting Cars,Show,History,,,,,,,,,,,https://www.facebook.com/HISTORYCountingCars,3.0M,3,0,$0 ,,,,
cozi,Cozi,Channel,NBCU,0,https://www.youtube.com/@CoziTV,76K,334,11/13/2012,,0.5M,7,6.4M,"$12,840 ",https://www.facebook.com/cozitv,0.6M,10,"$12,840 ","$25,680 ",,,,
dabl,Dabl,Channel,Paramount,0,https://www.youtube.com/@DABLNetwork,883K,806,7/30/2019,,2.4M,2.7,28.8M,"$57,600 ",https://www.facebook.com/watchdabl,0.0M,0,"$57,600 ","$115,200 ",,,,
dance_moms,Dance Moms,Show,Lifetime,,,,,,,,,,,https://www.facebook.com/DanceMomsonLIFETIME,2.8M,10,0,$0 ,,,,
deadliest_catch,Deadliest Catch,Show,WBD,Max,Discovery,,,,192.0M,,,0.0M,$0 ,https://www.facebook.com/DeadliestCatch,3.2M,0,$0 ,$0 ,20,351,,
desperate_housewives,Desperate Housewives,Show,Disney,Hulu,ABC,,,,207.2M,,,0.0M,,https://www.facebook.com/DesperateHousewives,8.8M,2,$0 ,$0 ,,,Clips on ABC YT channel,
dharma__greg,Dharma & Greg,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/dharmaandgregtvshow,0.0M,,,,,,,
dog_the_bounty_hunter,Dog The Bounty Hunter,Show,A+E,,,,,,,,,,,https://www.facebook.com/dogthebountyhunter,1.7M,0,0,$0 ,,,,
doogie_howser_md,Doogie Howser M.D.,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
doomsday_preppers,Doomsday Preppers,Show,Disney,Disney+/Hulu,NatGeo YT,,,,58.7M,,,,,https://www.facebook.com/doomsdaypreppers,0.3M,0,$0 ,$0 ,,,Full eps in playlist on NatGeo channel,
dr_phil,Dr. Phil Show,Show,CBS,Paramount+,,"6,360K","14,898",7/5/2007,,7.6M,1.2,91.2M,"$182,400 ",https://www.facebook.com/drphilshow,9.5M,10,"$182,400 ","$364,800 ",,,,
dr_pimple_popper,Dr Pimple Popper,Show,WBD,Max,https://www.youtube.com/@DrPimplePopper,"8,250K","2,900",10/20/2010,"5,900.0M",38.1M,4.6,457.7M,"$915,360 ",https://www.facebook.com/DrPimplePopperTLC,0.9M,4,"$915,360 ","$1,830,720 ",,,Clips on Discovery YT,
duck_dynasty,Duck Dynasty,Show,A+E,,,,,,,,,,,https://www.facebook.com/duckdynasty,7.0M,8,0,$0 ,,,,
er_emergency_room,ER,Show,WBD,Max,https://www.youtube.com/@er-emergencyroom434,60K,206,8/17/2019,61.0M,0.3M,5.2,3.8M,"$7,513 ",N/A,,,,"$7,513 ",15,331,"YT fan channel, but not official",
escape_to_the_chateau,Escape to the Chateau,Show,NBCU,Peacock,Channel 4 YT,,,,,,,,,https://www.facebook.com/escapetothechateau,0.2M,7,$0 ,$0 ,,,,
eurovision,Eurovision,Show,Eurovision,Youtube,https://www.youtube.com/@EurovisionSongContest,"5,670K","6,988",3/5/2006,,62.9M,11.1,755.2M,"$1,510,368 ",https://www.facebook.com/EurovisionSongContest,1.8M,10,"$1,510,368 ","$3,020,736 ",,,,
family_guy,Family Guy,Show,Disney,Disney+/Hulu,???,,,,,,,,,https://www.facebook.com/FamilyGuy,42.0M,10,,,,,,
fifth_wheel,Fifth Wheel,Show,NBCU,Peacock,N/A,,,,,,,,,,,,$0 ,,,,No episodes on Nosey. No YT or FB channels.,
filmrisetruecrime,FilmRiseTrueCrime,Channel,FilmRise,,https://www.youtube.com/@filmrisetruecrime,"1,080K","1,793",6/28/2014,,8.0M,7.4,96.0M,"$192,000 ",,,,,,,,,
flip_this_house,Flip This House,Show,A+E,,,,,,,,,,,,,,0,$0 ,,,,
forensic_files,Forensic Files,Show,FilmRise,,,,,,215.1M,,,,,,,,0,$0 ,,,,
forged_in_fire,Forged In Fire,Show,History,,,,,,,,,,,https://www.facebook.com/ForgedinFireHISTORY,1.3M,9,0,$0 ,,,,
friday_night_lights,Friday Night Lights,Show,NBCU,Peacock,https://www.youtube.com/@FridayNightLights,25K,362,10/10/2019,,0.2M,7.4,2.2M,"$4,434 ",https://www.facebook.com/fridaynightlights,0.6M,0,,,,,,
friends,Friends,Show,WBD,Max,https://www.youtube.com/@Friends,476K,930,4/4/2019,,30.0M,63,360.0M,"$720,000 ",https://www.facebook.com/friends.tv,18.0M,7,"$720,000 ","$1,440,000 ",,,,
fringe,Fringe,Show,WBD,Max,???,,,,21.0M,,,0.0M,,https://www.facebook.com/Fringe,3.0M,0,$0 ,$0 ,5,100,,
futurama,Futurama,Show,Disney/Fox,Disney+/Hulu,,,,,974.8M,,,,,https://www.facebook.com/Futurama,23.0M,0,,,,,,
fyi,FYI,Channel,A+E,,,,,,,,,,,,,,0,$0 ,,,,
game_of_thrones,,,,,,,,,,,,,,,,,,,,,,
glee,Glee,Show,Disney/Fox,Disney+/Hulu,https://www.youtube.com/@GLEE,185K,85,5/21/2009,"2,101.4M",0.0M,0.1,0.2M,$325 ,https://www.facebook.com/Glee,17.0M,3,,,,,,
gold_rush,Gold Rush,Show,WBD,Max,Discovery,,,,131.0M,,,0.0M,,https://www.facebook.com/GoldRush,2.3M,10,$0 ,$0 ,,,Clips on Discovery YT,
greys_anatomy,Grey's Anatomy,Show,Disney,Hulu,ABC,,,,423.4M,,,0.0M,,https://www.facebook.com/GreysAnatomy,21.0M,10,$0 ,$0 ,,,Clips on ABC YT channel,
grit,Grit,Channel,Scripps,0,https://www.youtube.com/@grit_tv,60K,139,2/10/2022,,0.1M,1.4,1.0M,"$1,992 ",https://www.facebook.com/grittvnetwork,0.3M,4,"$1,992 ","$3,984 ",,,,
gypsy_rose,Gypsy Rose,Show,Lifetime,,,,,,,,,,,,,,0,$0 ,,,,
hells_kitchen,Hell's Kitchen,Show,iTV,Peacock,https://www.youtube.com/@hellskitchen,"1,970K","1,388",1/15/2018,,16.9M,8.6,202.4M,"$404,832 ",https://www.facebook.com/HellsKitchen,3.1M,2,"$404,832 ","$809,664 ",,,,
history,History,Channel,A+E,,https://www.youtube.com/@HISTORY,"13,800K","10,128",8/27/2006,,52.9M,3.8,635.1M,"$1,270,272 ",https://www.facebook.com/HISTORY,46.0M,10,"$1,270,272 ","$2,540,544 ",,,,
hoarders,Hoarders,Show,A+E,,,,,,,,,,,https://www.facebook.com/Hoarders,1.5M,7,0,$0 ,,,,
house_md,House M.D.,Show,NBCU,Peacock,https://www.youtube.com/@HouseM.D.,"1,410K",1043,7/27/2017,,40.0M,28.4,480.6M,"$961,128 ",https://www.facebook.com/House,33.0M,1,,,,,,
how_i_met_your_mother,How I Met Your Mother,Show,Disney/Fox,Disney+/Hulu,,,,,"1,099.8M",,,,,https://www.facebook.com/OfficialHowIMetYourMother,18.0M,1,,,,,,
