title,video_id,channel_title,channel_id,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
"Judge Judy Plays ""Truth Or A Lie"" With A Kid 😅❤️ #shorts",13s44teiHCc,Jou Motivation,UCjh9Ww03KYvNaSmWD0fduhg,2024-12-03T15:00:02Z,"#judge #courtroom #court #truthorlie #motivation 

WARNING ⚠️: 

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, commenting, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. This content doesn’t belong to Jou Motivation, it is edited and shared only for the purpose of awareness, and if the content OWNERS (visual/audio) of this content has any issue, I request you to directly message to this page, thus we sort out the outcome.",,22,98935984,4279758,10281,PT43S,hd,public
"Judge Judy plays ""truth or a lie"" on her first show ever! #shorts",esvT7Z02eD8,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-10-24T19:30:02Z,"The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1

#JudgeJudy","Judge Judy,JJ,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy 2023,pilot episode,first judge judy episode,judge judy premire,first episode,episode 1,original pilot,beginning,how it started,judge judy start,vintage judge judy,retro judge judy,first guest,funny judge judy,1996,90s judge judy,dog bite,boy bitten by dog,dog attack",22,23334261,1185345,9005,PT57S,hd,public
This Is HER Diamond!,g3MLaZLNWmc,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-04-07T22:30:04Z,"#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,7911335,426474,3854,PT48S,hd,public
Dog Bites 10-Year-Old Boy | Part 1,fgAbbrfOt7Q,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-03-07T18:00:11Z,"10-year-old Sammy was bit by a dog walking home from school – and his dad says it's a serial biter!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,5166670,43948,2735,PT5M1S,hd,public
Judge Judy Throws Man’s New Girlfriend Out of Court!,98TEvpSfF2I,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-08-09T19:00:04Z,"“Isn’t it nice I got rid of the new girlfriend?”

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,4236429,44171,4692,PT4M31S,hd,public
"""You're a moron!""  #shorts",ILEMYCZfmHg,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2024-05-22T19:30:01Z,"The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1

#JudgeJudy","Judge Judy,JJ,Judge Judy 2022,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,judge judy 2022,judge judy full episodes 2023,Judge Judy 2024,funny judge judy",22,3956029,142350,4457,PT51S,hd,public
Who Broke Baby's Leg at Daycare? | Part 1,8RXngjGJy4U,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-02-28T20:00:03Z,"When Tiffany picked up her 4-month-old baby at daycare, he had a broken leg! Is the daycare to blame?

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,2909183,22819,1611,PT3M54S,hd,public
She Can't Stop Interrupting Judge Judy,XjthHArP4d0,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-06-14T19:30:02Z,"Judge Judy is not impressed with the way Kim runs her motorcycle rental business!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,2874336,23470,2100,PT4M17S,hd,public
Squatters Say They Were Illegally Evicted,yd0iHA92jts,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-02-13T20:00:29Z,"Myna and Philip say their former landlord illegally evicted them without notice. Do they have a case without a signed lease?

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,Judge Judy 2023,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,byrd judge judy,watch judge judy,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022,landlord,squatters,no lease,Kicked out of home,homeless,motel,bad landlord",22,2720879,17361,2261,PT4M8S,hd,public
Dad Wants His Child Support Back!,0JqeGKmMG4c,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-03-07T20:00:01Z,"Matthew made too many child support payments to the mother of his son, and now he wants that money back!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2023,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022,child support,money back,divorce,too much money,bad dad,bad mom",22,2629532,18752,4620,PT5M6S,hd,public
Judge Judy Gets Tough on Plaintiff! | Part 1,BjtLnk4EywU,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-09-06T18:00:03Z,"Judge Judy doesn't believe a word she's saying.

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,2465430,13790,974,PT4M36S,hd,public
"Judge Judy's not amused, nor is Officer Byrd! #shorts",CeLKSkOaXxs,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-12-23T20:00:10Z,"The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1

#JudgeJudy","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022,judge judy 2023,break in,caught on camera,stolen,bad break up,scary exes",22,2346044,105104,1828,PT55S,hd,public
Baby Daddy Brought Another Woman Home | Part 1,L2GE5vNTnMg,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-05-02T19:30:00Z,"Kelsey was co-living with her child’s father until he brought another woman home after a drunken night out.

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,2295927,12933,1039,PT4M54S,hd,public
Dog Bites 8-Year-Old and It's Caught on Video! | Part 1,DSb-_f7uAeo,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-03-24T18:00:09Z,"8-year-old Malik was bitten by his neighbor’s dogs – and mom Bridget has it on video!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2023,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,watch judge judy,judge judy 2022,dog bite,dog attack,dog attacks kid,caught on camera,dog attack video",22,2231321,18472,1153,PT4M34S,hd,public
Does Woman Have Rights to Ex-Boyfriend’s House | Part 1,h2LQoxZuXa4,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-11-14T19:00:16Z,"When Toni filed a restraining order against her boyfriend Martin, she got him removed from his house.

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,2218921,10711,1430,PT4M5S,hd,public
Judge Judy Calls Out Mom for Lying in Front of Her Son | Part 1,KoMtPaaXW1w,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-05-09T18:00:16Z,"Kim says Heather ran a stop sign and crashed into her Porsche, Heather says she never hit her!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,watch judge judy,jj,judge judy amazing cases,judge judy 2023,judge judy full episodes 2022,lying,lying in front of son,bad mom,terrible mom,car accident,car crash,lies,jude judy advice",22,2086220,13092,629,PT5M2S,hd,public
Four Teens Fight over One Girl! | Part 1,8_TuADXxV1E,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-02-13T19:00:03Z,"Nicholas says his schoolmate Max took a baseball bat to his car over a girl!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,byrd judge judy,watch judge judy,judge judy 2022,judge judy full episodes 2022,judge judy 2023,fights,baseball bat to car,fight over girl,teen fight,crazy love",22,2069455,12890,2010,PT5M3S,hd,public
"Child Broke Clavicle, But Driver Wants Money for Mirror! | Part 1",9G-fZiVtzDg,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-05-01T18:00:04Z,"Robin says 9-year-old Emy ran into her car during school pickup. Emy broke her clavicle, but Robin wants money for her broken mirror!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,byrd judge judy,watch judge judy,judge judy amazing cases,judge judy 2022,judge judy full episodes 2023,hit by car,broken clavicle,hit child with car,car accident,lawsuit,angry driver",22,2056117,14361,2751,PT4M30S,hd,public
Don't make Judge Judy throw this case out! #shorts,HdMsBTZ9iIY,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2024-02-13T16:31:19Z,"The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1

#JudgeJudy","Judge Judy,JJ,Judge Judy 2022,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,judge judy 2022,judge judy full episodes 2023,Judge Judy 2024,rude,interrupted,rented room,lying,not like pictures,not smart",22,1916909,59097,9109,PT57S,hd,public
Judge Judy Gets Tough on Plaintiff! | Part 2,bDxHVYL1rTQ,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2022-09-06T18:30:33Z,"Kristine insists she never lived with her ex Christopher and wants her stuff back.

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022",22,1839318,13704,2411,PT5M14S,hd,public
Man Sues Stylist for Cutting His Hair Too Short,xL90P20rLjc,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-10-02T19:00:27Z,"Carlos is suing Airiel for $5,000 for cutting his hair too short -- and wait until you hear what Judge Judy thinks!

#JudgeJudy 

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022,stylist,bad hair,no hair,hair too short,crazy lawsuit,insane lawsuit,funny judge judy",22,1798764,16858,6128,PT3M15S,hd,public
Judge Judy Doesn’t Get Why They're Fighting over Him! | Part 1,G4hL0fyT1zU,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-02-03T19:00:06Z,"Destany says her ex Zandore and his new girlfriend Jasmine assaulted her and threw a brick through her car window!

#JudgeJudy

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,watch judge judy,judge judy amazing cases,judge judy 2022,judge judy full episodes 2023,fights boyfriend,exes,fighting over ex",22,1783216,15510,2421,PT5M2S,hd,public
"The video that makes Judge Judy go ""Oooooh!""",Tn7XPaSGTQo,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-12-09T20:00:08Z,"The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1

#JudgeJudy","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022,bad remodel,judge judy 2023,remodel fail,terrible boyfriend,friend break up,bathroom destroyed",22,1891223,70002,875,PT53S,hd,public
Man Smashed Car Window to Save Baby! | Part 1,Zh_7VjoXALI,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-12-18T19:00:14Z,"Michael claims he had to break his passenger side window after his girlfriend’s daughter Ivory locked her baby in his car!

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1

#JudgeJudy","Judge Judy,JJ,Judge Judy 2021,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2023,judge judy 2023 full episodes,broken window,saves kid,kid locked in car,broke car window,saved child,is he lying",22,1730131,12560,965,PT4M37S,hd,public
Judge Judy Makes a Phone Call to Decide This Case!,M3bwg9UIrps,Judge Judy,UCzMPPxbQG6iZttQhq3ukXSg,2023-08-07T19:00:08Z,"Judge Judy calls an independent witness to weigh in on this car accident! 

#judgejudy   

The Original! There’s only ONE Judge Judy. Visit our website for where to watch, weekdays.

Subscribe to Judge Judy on YouTube: https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg?sub_confirmation=1","Judge Judy,JJ,Judge Judy 2023,Judge Judy official,Judge Judy full episodes,judge judy episodes,youtube judge judy,judge judy show,judge judy sheindlin,byrd judge judy,watch judge judy,jj,judge judy amazing cases,judge judy 2022,judge judy full episodes 2022,car crash,phone call,call a friend,judge judy solves case,funny judge judy,car accident dispute",22,1725008,18155,1694,PT4M51S,hd,public
