video_id	show_slug	is_ugc	ugc_type	curated_label
54YWj30sKiM	the_sopranos	0		
sWl-yJehAEo	the_sopranos	1		
_gxE6kq6E7c	the_sopranos	1		
xtM5flp183s	the_sopranos	1		
Z7BkXZkiFb8	the_sopranos	1		
wbimUw9YIVQ	the_sopranos	1		
pt-IOGfs9PY	the_sopranos	1		
qRjRtwLsxCE	the_sopranos	1		
mMNOz0k0uRc	the_sopranos	1		
UhA5_O-oKYA	the_sopranos	1		
e-kSSJZvqI8	the_sopranos	1		
LLmhgIVQ5sI	the_sopranos	1		
Lra__MsMawg	the_sopranos	1		
GmcoL_Yo88w	the_sopranos	1		
ArQaz7HmkHA	the_sopranos	1		
sc1JP6OaeE8	the_sopranos	1		
Qbqrzn6Jelk	the_sopranos	1		
kf8139O2DF4	the_sopranos	1		
KkhUdHma0rE	the_sopranos	1		
b4V4TYxZMaQ	the_sopranos	1		
nW3LikcBL68	the_sopranos	1		
j4lYFQtoZAo	the_sopranos	1		
rqnCCdB_Ylk	the_sopranos	1		
4gEPw8xi7vo	the_sopranos	1		
lQaoM14XOU8	the_sopranos	1		
hvZsDYQRs3I	the_sopranos	1		
fMJdOV2kdME	the_sopranos	1		
53E-fB4iWIs	the_sopranos	1		
VWUrLGu_Oso	the_sopranos	1		
pHkOrbTBHmg	the_sopranos	1		
nckYjqVrsRM	the_sopranos	1		
ez_UsjMh9jM	the_sopranos	1		
dVhL45S1H2M	the_sopranos	1		
zjUU_Kgy-Ks	the_sopranos	1		
pAs2rx4yAiY	the_sopranos	1		
iyHFXvfwBS8	the_sopranos	1		
1Lxk0PiYSqc	the_sopranos	1		
MfL-hi7m9vY	the_sopranos	1		
UA603O3M9TM	the_sopranos	1		
0-49M0Zxygw	the_sopranos	1		
X4V_rNN3QnM	the_sopranos	1		
n2JZwLMnePk	the_sopranos	1		
yzy1G2ElJAc	the_sopranos	1		
UDu5U3Z1ZG0	the_sopranos	1		
utJVfErqd5c	the_sopranos	1		
yx-HfJhMfss	the_sopranos	0		
Yf_VPqmhmT0	the_sopranos	0		
o9sCp_DA3_c	the_sopranos	1		
xpd72ObWYc4	the_sopranos	1		
N_aWjc7hJXU	the_sopranos	1		
jaWy4TLTeTk	the_sopranos	1		
0VhggVEs-h8	the_sopranos	1		
hU4IKQprPDM	the_sopranos	1		
dNGI-_MkcZo	the_sopranos	1		
68JuWk_Pbu0	the_sopranos	1		
qjmAiCLg9Iw	the_sopranos	1		
MTMCjUkQH6U	the_sopranos	1		
Po4UNF6BDYw	the_sopranos	1		
GL-Nk74-k0M	the_sopranos	1		
l-jkeDf7jHE	the_sopranos	1		
3Q_D5caCXKc	the_sopranos	1		
HooNIVN_ca4	the_sopranos	1		
53BUTj8f3WE	the_sopranos	1		
UZcBUPxQYZc	the_sopranos	1		
#NAME?	the_sopranos	1		
oLFWR6oKJjI	the_sopranos	1		
xCS9GrzJY08	the_sopranos	1		
qJtkIxw6-BE	the_sopranos	1		
hBPfGRifFmk	the_sopranos	1		
gdINg6w8Ey0	the_sopranos	1		
YDDkCiUhHCc	the_sopranos	1		
lv2GCh9ykoE	the_sopranos	1		
yuWpycOU3_A	the_sopranos	1		
mJpNmYeooQE	the_sopranos	0		
hCDv1pHWPe0	the_sopranos	0		
A-uFQIo6Lwg	the_sopranos	0		
iHHw6gl8xx8	the_sopranos	0		
VkL3_4xQA-s	the_sopranos	0		
WmrTEU6cRt8	the_sopranos	0		
6kHV-AjMnPA	the_sopranos	1		
YjX6Qyfpj3w	the_sopranos	1		
jOPn5kWQdX8	the_sopranos	1		
Ob-pYMFZD9c	the_sopranos	1		
EVXYlC499ys	the_sopranos	1		
en64HcWHEGo	the_sopranos	1		
KR70S4Eo8AU	the_sopranos	1		
JVZMuFND15U	the_sopranos	1		
Jh6ahP56kQE	the_sopranos	1		
RsPvA-VpGwo	the_sopranos	1		
_i4UJN5kko8	the_sopranos	1		
vNa3eeCcwM0	the_sopranos	1		
a6xmSpvELIY	the_sopranos	1		
tQWK8JYK7-0	the_sopranos	1		
Fo5ACzZNoi8	the_sopranos	1		
3no5JOPdcZU	the_sopranos	1		
wmRwq0KrTeU	the_sopranos	1		
MUoUoed_87w	the_sopranos	1		
h-3NoaYQMUE	the_sopranos	1		
UJh87wgknXU	the_sopranos	1		
dnPW37kfU8A	the_sopranos	1		
lbPkkoODGQw	the_sopranos	1		
BtAM8EuKUTE	the_sopranos	1		
q39jTRSald0	the_sopranos	1		
UKtN664svD8	the_sopranos	1		
mpmF3F_6mXM	the_sopranos	1		
M8wjP53lyLU	the_sopranos	1		
1CB854K31z8	the_sopranos	1		
_XGwDy6oV58	the_sopranos	1		
d4AflJ3TknM	the_sopranos	1		
8wD1Aq_zEq8	the_sopranos	1		
EeW4pnmUmTM	the_sopranos	1		
DnlzSWpzh_w	the_sopranos	1		
GUXqhgB4lS4	the_sopranos	1		
uKqXP2ggOjw	the_sopranos	1		
KmNY241MRfc	the_sopranos	1		
LispdD4JYDQ	the_sopranos	1		
fDGx4S2W7Rg	the_sopranos	1		
q8Lg6Rce0QY	the_sopranos	1		
FNiHcqBJffk	the_sopranos	1		
OGZAmKJANkg	the_sopranos	1		
OqzGVqjl3Pc	the_sopranos	1		
18RHKG0ZNPc	the_sopranos	1		
kUtGkqb-3hM	the_sopranos	1		
21I_fRA_v_o	the_sopranos	1		
VX4Ku5xyBmw	the_sopranos	1		
gUaJ6ANL1Uk	the_sopranos	1		
wmuIR1ZaU-I	the_sopranos	1		
4DVjy8tvACk	the_sopranos	1		
oKiLmT1FSe0	the_sopranos	1		
S9wPbll6dw0	the_sopranos	1		
edF-gS_2AiU	the_sopranos	1		
blXus2_a7Wo	the_sopranos	1		
UPZwMMdGLWI	the_sopranos	1		
GHtpL1bCxqE	the_sopranos	1		
6oO-Iej5hiw	the_sopranos	1		
irPRJMv41Zg	the_sopranos	1		
jRq50RXK0h0	the_sopranos	1		
wfZZQQpZgjY	the_sopranos	1		
cD8qVgRGATU	the_sopranos	1		
FRHrbZT16Bs	the_sopranos	1		
cy0M5ZzvCBs	the_sopranos	1		
giQTI5L_c5E	the_sopranos	1		
lIyM76Nc7Fs	the_sopranos	1		
o4oI2RJQbuc	the_sopranos	1		
mILrHzplOyg	the_sopranos	1		
nrXVYGZewd4	the_sopranos	1		
LyeSIkzpgAQ	the_sopranos	1		
T0lyMWjyExo	the_sopranos	1		
xjruGA4gyUM	the_sopranos	1		
H87gumdak7g	the_sopranos	1		
p4L1IEyuw-I	the_sopranos	1		
odpSo8U587o	the_sopranos	1		
5snWTdNGht0	the_sopranos	1		
ACpOsmInmhE	the_sopranos	1		
1BW2nTro0jg	the_sopranos	1		
SGKjtlXndLY	the_sopranos	1		
qzEGzjFKFAc	the_sopranos	1		
